session_code,participant_code,offer_price,transaction_price,discount,purchased,last_return,last_imbalance,informative,belief_informative,belief_confidence,return_forecast,forecast_confidence,investment_amount,age,gender,education,finance_course,fin_literacy_score
cbctgbhm,249s463d,15,0,15,0.0,15.3352032889933,8.30613918663683,0,,,5.0,2.0,10.0,48.0,female,some_college,0.0,2.0
cbctgbhm,u35qocp4,5,0,5,0.0,15.1098174886843,-18.5046274258981,1,,,50.0,4.0,5.0,32.0,male,graduate,0.0,1.0
cbctgbhm,xsl7hvmk,10,0,10,0.0,15.3352032889933,8.30613918663683,0,,,26.0,3.0,32.0,29.0,male,bachelor,1.0,3.0
cbctgbhm,q8a2aa8e,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,5.0,-10.0,5.0,0.0,32.0,male,bachelor,0.0,3.0
cbctgbhm,rbcxqxsx,10,3,7,1.0,15.3352032889933,8.30613918663683,0,0.0,4.0,15.0,1.0,20.0,39.0,female,graduate,1.0,3.0
cbctgbhm,dw05u50m,15,3,12,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,20.0,4.0,30.0,35.0,female,some_college,0.0,2.0
cbctgbhm,0tq1wqhs,10,6,4,1.0,14.5282644745692,7.35487993020429,1,0.0,4.0,18.0,3.0,25.0,43.0,female,graduate,0.0,3.0
cbctgbhm,3iqp0uyt,15,6,9,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,20.0,3.0,70.0,31.0,female,bachelor,1.0,3.0
cbctgbhm,oxlv23te,15,9,6,0.0,14.5282644745692,7.35487993020429,1,,,5.0,2.0,25.0,57.0,female,some_college,0.0,3.0
cbctgbhm,osyntsy6,5,0,5,1.0,15.3352032889933,8.30613918663683,0,1.0,2.0,15.0,2.0,50.0,38.0,female,graduate,0.0,3.0
cbctgbhm,gbchzoup,10,0,10,1.0,15.6552619854883,-10.6145146455845,0,0.0,3.0,10.0,2.0,15.0,32.0,male,bachelor,0.0,2.0
cbctgbhm,ki9dd4lj,15,0,15,1.0,15.6552619854883,-10.6145146455845,0,0.0,2.0,5.0,2.0,20.0,47.0,female,graduate,0.0,2.0
cbctgbhm,dpo4gp6h,5,0,5,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,28.0,1.0,40.0,45.0,female,bachelor,1.0,3.0
cbctgbhm,zrw77g07,10,0,10,1.0,15.6552619854883,-10.6145146455845,0,1.0,3.0,8.0,2.0,60.0,26.0,female,graduate,1.0,3.0
cbctgbhm,uii4x5le,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,20.0,4.0,50.0,25.0,female,bachelor,0.0,2.0
cbctgbhm,dyxh02gj,5,3,2,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,-15.0,3.0,15.0,55.0,male,bachelor,0.0,3.0
cbctgbhm,upgpfjz8,10,6,4,1.0,15.3352032889933,8.30613918663683,0,1.0,4.0,30.0,3.0,30.0,36.0,male,bachelor,1.0,3.0
cbctgbhm,2rsod6bh,15,6,9,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,23.0,5.0,89.0,28.0,male,bachelor,1.0,2.0
cbctgbhm,cwxkkzbg,15,9,6,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,5.0,3.0,0.0,24.0,male,bachelor,1.0,3.0
