prolific
"676b1d6b2bdeb2fceba3e03b, 1.84"
"6a08afe4c07d382afc71bd58, 2.06"
"69f24e38225e04f9d1ea49f4, 2.22"
"6a0afd1ca8651a662c016404, 1.96"
"6a43966ec91c7808dc886ed9, 1.96"
"60154af277ec314fd8fe1449, 1.87"
"60e5cb4ca01a593fce9a379d, 1.91"
"69ea53a90c6cacb935a68043, 1.82"
"60a2d2ebffd69c952a981069, 1.99"
"699b6090e5d9282085ecdd57, 2.04"
"6a1e8e2c712acc47432b37fb, 2.12"
"652c77340589c14a4531e37e, 2.39"
"6a102f69c2aca69e072332c1, 1.98"
"6a033afd547f924ea88c8fab, 2.25"
"6996165a598a1cd9d3872ce7, 1.92"
"6502683ff5d26c3b0b616605, 2.23"
"6a08bf81da7a4690ab97c71b, 2.03"
"5ea824f580b9ef228f589930, 2.07"
"6a185c5d62afebf400ab08ed, 1.82"
"65830055257db95983265d5c, 2.18"
"6a0f528b7efe7409a6f4b077, 2.37"
"6998d4d5fa7f96c4bcf784e0, 2.12"
"69f2ee5ddb905013371b6383, 1.92"
"69ab9f5664a6fa203675624e, 2.14"
"65cf88a1a3887a237da61f94, 2.08"
"6a326549cff96ae66ede7dcb, 2.23"
"5c8ee6c36ca70b0001fe979d, 2.07"
"6a177da8b59d5576eaca4df0, 2.16"
"6a21f71f2efa982c1e9b3e8b, 1.99"
"66da00b954451b948f184412, 1.92"
"6813b4a742433801d98b2c6c, 1.78"
"6445b13023ac3b3eb202881f, 2.35"
"6a1c6fad402a3cda72b62881, 2.02"
"583fe092d639d0000142fb2e, 2.05"
"5e6387b1b7d70b10675e3a26, 2.06"
"6a246e10ba7cd9fe7efa788f, 2.29"
"5c5b55ce32810e0001c3456b, 2.07"
"69f364fca9d8506616b5feb2, 2.14"
""
"6a19ca902f839418ee60c6b7, 1.87"
"69a63d3e9ea9ba7c05d2083f, 2.02"
"6a43ceb2783758885be5b49c, 2.09"
"6a1e6c17cbede57173fc303c, 2.0"
"62b4403257f7d42730f83394, 1.95"
"69f607e7e5df4a146511ed24, 2.13"
"6a1497259d26df68f0217f45, 2.08"
"6a24075160115784d45503dd, 1.92"
"6a102c5e27d4800179f2e992, 2.29"
"69d0ae05c080c6bb153f8016, 2.2"
"5fb25a7e5960a87fb627c12b, 2.12"
"6a14c84872f3851ab32e8c01, 2.35"
"69e936361f6c512a8ed6f82e, 2.02"
"67df2438f087a74ea30f779b, 1.96"
"60ba3ba230144fd3e30a1a85, 2.21"
"696c14c4c7de2d012b0911cb, 2.27"
"69b7b14dc338cae11749da9b, 2.27"
"6a0f63175c9e7280ae6809a5, 2.03"
"5ecc5a663823de80ecbe966a, 2.06"
"69f2c57f4cb9c97ec2c455cc, 2.02"
"671bbaf1bec15d847b871b9b, 2.31"
"69af0f27f4d04217e4e71484, 1.93"
"6a0380b45dcd67bf7268763b, 2.04"
"66c54542fde51396756cb576, 2.37"
"6229fff149374541c22a95bf, 1.97"
"69fc57fcb55d5a7e838a5767, 2.35"
"6a3090ec1a7afbd7da1b4dc6, 2.11"
"5978f6f009bdcf000153f43d, 2.21"
"572230173fbc810011c58a38, 1.93"
"663d38dc09420dbd2ba3f617, 2.13"
"69b0c18da5fae9eb6f4a1fe4, 2.07"
"6913eceb7b168aef2afc27a7, 1.87"
"69b501e7b0a43fef03b97fb3, 1.97"
"6a00e97a8d9756b8785b6775, 2.06"
"69f662693ba602a8bd8b148c, 2.08"
"66e1532449ef182981b6fc9e, 2.41"
"6a1d009b4117a2e737b798b4, 2.22"
"698582df6dd2af8826766dfd, 1.9"
"69e77b613d32dc5b1ff7e483, 2.14"
"654a44f0addb5f41f1705b75, 2.04"
"697fbcfaae6bc29a56c28d58, 2.05"
"69f4e5fef0e9b310fc27ece7, 1.97"
"6a14cafd01c7c48f83037c64, 2.16"
"66880bd9fc1509787faaa118, 2.44"
"6116f994419d66823ecd35b0, 2.05"
"65084d7d30b8519e1126bdb3, 2.13"
"6a0f8be783a3cf6bc4f0fd11, 2.14"
"69ee75320f0aa6f59f196b96, 2.01"
""
"69b0a76a5391ab8c0e6d8e21, 2.15"
"69f15019a799c1d83e971642, 1.92"
"69f27611bd86f7418fba0854, 1.92"
"6a16ea7037fa5cfc2dbda395, 2.2"
"6a0c78f8d312d22c13af2005, 1.94"
"69cc19a2449f9d4df4a878d6, 2.22"
"6a00d3c31e08150e1a3876a8, 2.1"
"6a03970bcb1c8bc853d651f7, 2.12"
"69c39624fc6205cf84be7a0c, 2.03"
"69e92ef089df5978f5529082, 1.93"
"6a0b755a88b3aa117275120b, 2.16"
"6a02ec0baeae7fa4cfd63326, 2.02"
"6a2726631c191ae3664464de, 1.83"
"6a080b06c993b34c8d034340, 1.85"
"5dc4c22f0389e438ac69eac9, 2.07"
"6a1897db42be7cd1b4b3e2bf, 2.25"
"69fdda7b1de3674cc53ee356, 2.36"
"6a26311766436b2345c944e1, 2.38"
"5cd8996bdf739100011b1f3e, 2.01"
"6a213f0eb3b7243fd20dd1ae, 1.99"
"5d5580165514d80017cd1999, 2.15"
"665637a539f6f3b6ea793f96, 2.37"
"6a1027ad463fb77cfee91b51, 1.86"
"67acd3de8b917fb0c3418d9a, 2.03"
"6394e32126ebbdc7b10c6748, 2.01"
"691235d712168992886b5114, 1.94"
"69e917ab72f7105f082dbca0, 2.42"
"58f0fca0d40252000192f201, 1.94"
"60abdc82ec2d1e548b986424, 2.21"
"6a037c8004388cb6252fee45, 1.96"
"609551c1ade88f8463666fb8, 2.12"
"669bea454c1e89496d925394, 1.75"
"69ea4e18db0c9b99fce9fb62, 2.16"
"6a18771b16233347810eecd3, 2.1"
"67803b5508f3d995ef13696b, 2.15"
"67b8f459f36ac348b98d6cad, 1.97"
"69f75cdf3d9a0b6f3b9a07a6, 1.96"
"69bcd49ce95af67521ac752f, 2.2"
"6a0c4d6621fdd33feb20bf2e, 2.23"
"676c45d92368330a2c254895, 1.97"
"6a255fa6a876fc03e686d78a, 2.28"
"69136b6afac806738d43ce79, 1.8"
"6a0367e8bb1072871d75f72a, 1.9"
"59d4fb316cc82800013e32d3, 1.98"
"6695801cedcf7fed85019050, 1.87"
"6a19b02cc3e2451bfcb38c48, 2.38"
"6a1b258ff8d3406f726eea12, 2.06"
"699484a7ce06889d9531c706, 2.08"
"6a1d952949ba8e88b067ddde, 2.16"
"6a170b89d6c2004c1547dc7a, 2.03"
"69fe60e39f52f5474d39d764, 2.09"
"607a1916608816aafa36bdd7, 1.74"
"6a00a6ad4f16ab8a8462ae93, 1.75"
"6a11601203137aea7dacc186, 1.98"
"6a05c346ba8940abb47aa329, 2.4"
"667f6be670daab105348afb2, 2.37"
"6942be653353c6d4c4e798a2, 2.32"
"69b566f73236bc66f0b1d400, 1.95"
"667987c18f34110073ae20b7, 2.4"
"69f39c02faa92a381fcab86b, 2.01"
"5f48dab70aa4ce3aa1914003, 2.0"
"698277a139692c547b33094c, 1.83"
"69cdabe316038f0f3b399391, 2.18"
"6a052213cf95b4c40176b3f7, 1.86"
"69efc4d983b69a718ecd058e, 2.0"
"67a9034388a7629d47fdd89e, 2.08"
"5f4a7a00dc1bde60ab8f7ac5, 2.39"
"6a0bccbda0e8d7bb8e72c283, 2.23"
"67e18df3adc77c0702ba396b, 2.23"
"5c2da96d0091e40001cb708c, 1.97"
"6a0a29e9cec81be82fcf9b7c, 2.1"
"69f7ca88a84c611cc81c7b96, 2.1"
"69f63c887d8133dc046897fa, 2.03"
"69e26631825dbbcd8a513fbb, 2.04"
"60d3136e74b1871646e72544, 2.09"
"69f1068f6fcbec8383810256, 2.08"
"6a1a00586a8aadd5e1977caa, 2.11"
"6a00a20eacf1b2dac2537d06, 2.06"
"61572aeab6ac8a5fe94b43b4, 2.33"
"69c29ecdf9a92efab6908a2c, 2.11"
"63ea751b7686e752f5ef78b2, 2.06"
"5adcefb65f327e0001fb4c05, 2.24"
"6a0e01ca042c9f7da7106c7b, 1.82"
"6a13661cce27cd1e4166e1f0, 2.05"
"6a085b76d95d9619044995ad, 2.11"
"6a1893b938af07f113ef5685, 2.36"
"6a1f12ccd85b337a7b2b0275, 2.08"
"6a16a850d2171801a188dc1c, 2.21"
"6a18a7b11a33781e2fdffec4, 2.05"
"69fed01e4e13f1dbbf837beb, 1.84"
"6a1e2063088b067b6f59e16f, 1.99"
"69d67e558286a0e5a947c5e4, 2.25"
"6995e770a024450c89b5cc47, 2.37"
"6a261383ec74018d9eec07e7, 2.08"
"69a6f31da8afde8854c002a8, 2.07"
"6a03e49a2b083f8fa115a457, 2.19"
"675cf75e3c237ff931f4a43e, 1.93"
"6a0664fd0ed01e790744d610, 1.99"
"69f64fcbf421f73f9d50b883, 1.84"
"69f74bd4e40b584e3cba2d50, 2.04"
"6a2492801d607c09b829b947, 2.13"
"6776ff8423305566de4ec90e, 2.02"
"6a0f2231aa9cf7945dda9d9d, 2.05"
"69c63a2f86741c4f0f2cc573, 2.19"
"6a22d7fa25ca84716c2b7950, 1.99"
"6a1560a417182f41fbfa4d33, 2.17"
